Term,term_full_ID,Pri_Disease_ID,Pri_disease_term
infections,c01,c01,infections
"aneurysm, infected",c01.069,c01,infections
"arthritis, infectious",c01.100,c01,infections
"arthritis, reactive",c01.100.500,c01,infections
asymptomatic infections,c01.125,c01,infections
bacterial infections and mycoses,c01.150,c01,infections
bacterial infections,c01.150.252,c01,infections
bacteremia,c01.150.252.100,c01,infections
hemorrhagic septicemia,c01.150.252.100.375,c01,infections
bacterial zoonoses,c01.150.252.162,c01,infections
central nervous system bacterial infections,c01.150.252.223,c01,infections
lyme neuroborreliosis,c01.150.252.223.437,c01,infections
"meningitis, bacterial",c01.150.252.223.500,c01,infections
"meningitis, escherichia coli",c01.150.252.223.500.350,c01,infections
"meningitis, haemophilus",c01.150.252.223.500.425,c01,infections
"meningitis, listeria",c01.150.252.223.500.500,c01,infections
"meningitis, meningococcal",c01.150.252.223.500.750,c01,infections
waterhouse-friderichsen syndrome,c01.150.252.223.500.750.500,c01,infections
"meningitis, pneumococcal",c01.150.252.223.500.875,c01,infections
"tuberculosis, meningeal",c01.150.252.223.500.937,c01,infections
neurosyphilis,c01.150.252.223.600,c01,infections
tabes dorsalis,c01.150.252.223.600.800,c01,infections
"tuberculosis, central nervous system",c01.150.252.223.850,c01,infections
"tuberculoma, intracranial",c01.150.252.223.850.400,c01,infections
"tuberculosis, meningeal",c01.150.252.223.850.800,c01,infections
"endocarditis, bacterial",c01.150.252.245,c01,infections
"endocarditis, subacute bacterial",c01.150.252.245.500,c01,infections
"eye infections, bacterial",c01.150.252.289,c01,infections
"conjunctivitis, bacterial",c01.150.252.289.225,c01,infections
"conjunctivitis, inclusion",c01.150.252.289.225.250,c01,infections
ophthalmia neonatorum,c01.150.252.289.225.625,c01,infections
trachoma,c01.150.252.289.225.800,c01,infections
hordeolum,c01.150.252.289.400,c01,infections
"keratoconjunctivitis, infectious",c01.150.252.289.450,c01,infections
"tuberculosis, ocular",c01.150.252.289.800,c01,infections
"uveitis, suppurative",c01.150.252.289.900,c01,infections
panophthalmitis,c01.150.252.289.900.675,c01,infections
fournier gangrene,c01.150.252.377,c01,infections
gram-negative bacterial infections,c01.150.252.400,c01,infections
aliivibrio infections,c01.150.252.400.050,c01,infections
anaplasmataceae infections,c01.150.252.400.054,c01,infections
anaplasmosis,c01.150.252.400.054.500,c01,infections
ehrlichiosis,c01.150.252.400.054.750,c01,infections
heartwater disease,c01.150.252.400.054.750.500,c01,infections
anaplasmosis,c01.150.252.400.082,c01,infections
