Education,Income,Kidhome,Teenhome,MntWinesProducts,MntFruitsProducts,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmpLast,Relationship_status,TotalAMntspent,TotalCmpAccepted,TotalNumPurchases,Age,KidTeenhome
Graduate,58138.0,0,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1,Unattached,1617,1,22,57,0
Graduate,46344.0,1,1,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,Unattached,27,0,4,60,2
Graduate,71613.0,0,0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,Attached,776,0,20,49,0
Graduate,26646.0,1,0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,Attached,53,0,6,30,1
Post_grad,58293.0,1,0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,Attached,422,0,14,33,1
Post_grad,62513.0,0,1,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,Attached,716,0,20,47,1
Graduate,55635.0,0,1,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,Unattached,590,0,17,43,1
Post_grad,33454.0,1,0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,Attached,169,0,8,29,1
Post_grad,30351.0,1,0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,Attached,46,1,5,40,1
Post_grad,5648.0,1,1,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,Attached,49,1,1,64,2
Undergrad,7500.0,0,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,Attached,61,0,5,38,0
Graduate,63033.0,0,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,Unattached,1102,0,15,55,0
Post_grad,59354.0,1,1,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,Unattached,310,0,12,62,2
Graduate,17323.0,0,0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,Attached,46,0,4,27,0
Post_grad,82800.0,0,0,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,Unattached,1315,3,25,68,0
Graduate,41850.0,1,1,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,Attached,96,0,6,34,2
Graduate,37760.0,0,0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,Attached,317,0,11,68,0
Post_grad,76995.0,0,1,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,Attached,1782,1,24,65,1
Undergrad,33812.0,1,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,Unattached,133,0,6,29,1
Graduate,37040.0,0,0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,Attached,316,0,11,32,0
Graduate,2447.0,1,0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,Attached,1730,0,28,35,1
Post_grad,58607.0,0,1,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,Attached,972,1,14,65,1
Post_grad,65324.0,0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,Attached,544,0,17,60,1
Graduate,40689.0,0,1,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,Attached,444,0,13,63,1
Graduate,18589.0,0,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,Unattached,75,0,6,45,0
Graduate,53359.0,1,1,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,Attached,257,0,10,38,2
Graduate,38360.0,1,0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,Attached,131,0,7,25,1
Post_grad,84618.0,0,0,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,Attached,1672,1,25,49,0
Post_grad,10979.0,0,0,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,Unattached,30,0,6,25,0
Post_grad,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,Attached,318,0,10,51,0
Graduate,40548.0,0,1,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,Attached,120,1,7,44,1
Post_grad,46610.0,0,2,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,Unattached,302,1,11,62,2
Post_grad,68657.0,0,0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,Attached,1196,0,17,68,0
Post_grad,49389.0,1,1,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,Unattached,65,0,5,63,2
Post_grad,67353.0,0,1,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,Attached,913,0,23,44,1
Undergrad,23718.0,1,0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,Attached,81,0,6,38,1
Graduate,42429.0,0,1,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,Unattached,67,0,5,41,1
Post_grad,48948.0,0,0,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,1,Unattached,902,2,22,71,0
Graduate,80011.0,0,1,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,Attached,1395,0,19,34,1
Post_grad,20559.0,1,0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,Attached,53,0,5,29,1
Graduate,21994.0,0,1,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,Attached,22,0,3,57,1
Post_grad,7500.0,1,0,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,Attached,31,0,5,39,1
Graduate,79941.0,0,0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,Unattached,984,0,15,38,0
Undergrad,7500.0,0,0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,Attached,122,1,7,18,0
